,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
413,2014-06-13,2014,22 Jump Street,Comedy,Live Action,Contemporary Fiction,50000000,191719337,139614539,331333876.0,June
414,2014-08-08,2014,Teenage Mutant Ninja Turtles,Adventure,Animation/Live Action,Super Hero,125000000,191204754,293800000,485004754.0,August
415,2014-11-05,2014,Interstellar,Adventure,Live Action,Science Fiction,165000000,188017894,466099865,654117759.0,November
416,2014-06-13,2014,How to Train Your Dragon 2,Adventure,Digital Animation,Fantasy,145000000,177002924,437583346,614586270.0,June
417,2014-10-03,2014,Gone Girl,Thriller/Suspense,Live Action,Contemporary Fiction,61000000,167767189,200800000,368567189.0,October
418,2014-03-21,2014,Divergent,Adventure,Live Action,Science Fiction,85000000,150947895,125067070,276014965.0,March
419,2014-05-09,2014,Neighbors,Comedy,Live Action,Contemporary Fiction,18000000,150086800,120857628,270944428.0,May
420,2014-01-17,2014,Ride Along,Comedy,Live Action,Contemporary Fiction,25000000,134202565,19531235,153733800.0,January
421,2014-04-11,2014,Rio 2,Adventure,Digital Animation,Kids Fiction,130000000,131538435,361307856,492846291.0,April
422,2014-12-25,2014,Into the Woods,Musical,Animation/Live Action,Fantasy,56200000,128002372,85114029,213116401.0,December
423,2014-07-25,2014,Lucy,Action,Live Action,Science Fiction,40000000,126573960,330933816,457507776.0,July
424,2014-06-06,2014,The Fault in Our Stars,Drama,Live Action,Contemporary Fiction,12000000,124872350,182294484,307166834.0,June
425,2014-12-25,2014,Unbroken,Drama,Live Action,Dramatization,65000000,115637895,47889929,163527824.0,December
426,2014-12-19,2014,Night at the Museum: Secret of the Tomb,Adventure,Animation/Live Action,Fantasy,127000000,113746621,240010000,353756621.0,December
427,2014-03-07,2014,Mr. Peabody & Sherman,Adventure,Digital Animation,Kids Fiction,145000000,111506430,158300000,269806430.0,March
428,2014-03-07,2014,300: Rise of an Empire,Action,Animation/Live Action,Historical Fiction,110000000,106580051,224200000,330780051.0,March
429,2014-09-19,2014,The Maze Runner,Thriller/Suspense,Live Action,Science Fiction,34000000,102427862,245891999,348319861.0,September
430,2014-09-26,2014,The Equalizer,Action,Live Action,Contemporary Fiction,55000000,101530738,91372886,192903624.0,September
431,2014-03-28,2014,Noah,Drama,Live Action,Historical Fiction,130000000,101200044,251631021,352831065.0,March
432,2014-06-06,2014,Edge of Tomorrow,Action,Live Action,Science Fiction,178000000,100206256,270335000,370541256.0,June
433,2014-02-28,2014,Non-Stop,Action,Live Action,Contemporary Fiction,50000000,91742160,130640895,222383055.0,February
434,2014-04-16,2014,Heaven is for Real,Drama,Live Action,Dramatization,12000000,91386097,9530202,100916299.0,April
435,2014-11-28,2014,The Imitation Game,Drama,Live Action,Dramatization,15000000,91125143,136615320,227740463.0,November
436,2014-11-14,2014,Dumb and Dumber To,Comedy,Live Action,Contemporary Fiction,40000000,86208010,70345582,156553592.0,November
437,2014-12-19,2014,Annie,Musical,Live Action,Contemporary Fiction,65000000,85911262,53918363,139829625.0,December
438,2014-10-17,2014,Fury,Drama,Live Action,Historical Fiction,80000000,85817906,124497775,210315681.0,October
439,2014-07-02,2014,Tammy,Comedy,Live Action,Contemporary Fiction,20000000,84525432,11882223,96407655.0,July
