,title,production_year,budget,dom_gross,int_gross,creative_type,prod_method,genre
1083,"The Twilight Saga: Breaking Dawn, Part 1",2011,127500000,281287133,408132918,Fantasy,Live Action,Drama
1084,R.I.P.D.,2011,130000000,33618855,45457823,Science Fiction,Live Action,Action
1085,Puss in Boots,2011,130000000,149260504,405726973,Kids Fiction,Digital Animation,Adventure
1086,The Adventures of Tintin,2011,130000000,77591831,296402120,Contemporary Fiction,Digital Animation,Adventure
1087,Happy Feet Two,2011,135000000,64006466,93950000,Kids Fiction,Digital Animation,Adventure
1088,Rango,2011,135000000,123477607,122246993,Kids Fiction,Digital Animation,Adventure
1089,Captain America: The First Avenger,2011,140000000,176654505,193915271,Super Hero,Live Action,Action
1090,Mission: Impossible—Ghost Protocol,2011,145000000,209397903,485315327,Contemporary Fiction,Live Action,Action
1091,Thor,2011,150000000,181030624,268295994,Super Hero,Live Action,Action
1092,Kung Fu Panda 2,2011,150000000,165249063,499588484,Kids Fiction,Digital Animation,Adventure
1093,Dark Shadows,2011,150000000,79727149,158475519,Fantasy,Live Action,Black Comedy
1094,X-Men: First Class,2011,160000000,146408305,209000000,Super Hero,Live Action,Action
1095,Cowboys and Aliens,2011,163000000,100368560,75669764,Science Fiction,Live Action,Action
1096,Snow White and the Huntsman,2011,170000000,155136755,245884991,Fantasy,Live Action,Adventure
1097,Edge of Tomorrow,2011,178000000,100206256,270335000,Science Fiction,Live Action,Action
1098,Hugo,2011,180000000,73864507,106183277,Fantasy,Animation/Live Action,Adventure
1099,World War Z,2011,190000000,202359711,329154939,Science Fiction,Live Action,Action
1100,Transformers: Dark of the Moon,2011,195000000,352390543,771400000,Science Fiction,Animation/Live Action,Action
1101,Jack the Giant Slayer,2011,195000000,65187603,132500000,Fantasy,Animation/Live Action,Adventure
1102,Green Lantern,2011,200000000,116601172,102934320,Super Hero,Animation/Live Action,Action
1103,Cars 2,2011,200000000,191450875,368704508,Kids Fiction,Digital Animation,Adventure
1104,Oz the Great and Powerful,2011,200000000,234770996,255588055,Fantasy,Animation/Live Action,Adventure
1105,Men in Black 3,2011,215000000,179020854,475192631,Science Fiction,Animation/Live Action,Adventure
1106,The Amazing Spider-Man,2011,220000000,262030663,495859604,Super Hero,Live Action,Adventure
1107,Battleship,2011,220000000,65233400,248244317,Contemporary Fiction,Live Action,Action
1108,The Avengers,2011,225000000,623279547,894656350,Super Hero,Animation/Live Action,Action
1109,John Carter,2011,275000000,73058679,209719421,Science Fiction,Live Action,Adventure
1110,Pirates of the Caribbean: On Stranger Tides,2011,410600000,241063875,804600000,Fantasy,Live Action,Adventure
1111,Atlas Shrugged: Part II,2012,10000000,3336053,0,Science Fiction,Live Action,Drama
1112,The Collection,2012,10000000,6810754,2079340,Contemporary Fiction,Live Action,Horror
1113,The Iceman,2012,10000000,1930282,1693327,Dramatization,Live Action,Drama
